Karnataka,A J Institute of Medical Sciences & Research Centre, Mangalore
Pondicherry,Aarupadai Veedu Medical College, Pondicherry
Jammu & Kashmir,Acharya Shri Chander College of Medical Sciences, Jammu
Maharashtra,ACPM Medical College, Dhule
Tamil Nadu,ACS Medical College and Hospital, Chennai
Andhra Pradesh, ACSR Government Medical College, Nellore
Punjab,Adesh Institute of Medical Sciences & Research, Bhatinda
Haryana,Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana
Karnataka, Adichunchanagiri Institute of Medical Sciences, Bellur
Tripura,Agartala Government Medical College, Agartala
Karnataka,Akash Institute of Medical Sciences & Research Centre, Devanhalli, Bangalore, Karnataka
Haryana,Al Falah School of Medical Sciences & Research Centre, Faridabad
Karnataka,Al-Ameen Medical College, Bijapur
Kerala,Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha
Punjab,All India Institute of Medical Sciences, Bhatinda
Madhya Pradesh,All India Institute of Medical Sciences, Bhopal
Orissa,All India Institute of Medical Sciences, Bhubaneswar
Telangana,All India Institute of Medical Sciences, Bibinagar
Himachal Pradesh,All India Institute of Medical Sciences, Bilaspur
Jharkhand,All India Institute of Medical Sciences, Deoghar
Uttar Pradesh,All India Institute of Medical Sciences, Gorakhpur
Assam,All India Institute of Medical Sciences, Guwahati
Rajasthan,All India Institute of Medical Sciences, Jodhpur
West Bengal,All India Institute of Medical Sciences, Kalyani, Nadia
Tamil Nadu,All India Institute of Medical Sciences, Madurai
Andhra Pradesh,All India Institute of Medical Sciences, Mangalagiri, Vijayawada
Maharashtra,All India Institute of Medical Sciences, Nagpur
Delhi,All India Institute of Medical Sciences, New Delhi
Bihar,All India Institute of Medical Sciences, Patna
Uttar Pradesh,All India Institute of Medical Sciences, Rae Bareli
Chattisgarh,All India Institute of Medical Sciences, Raipur
Gujarat,All India Institute of Medical Sciences, Rajkot
Uttarakhand,All India Institute of Medical Sciences, Rishikesh
Jammu & Kashmir,All India Institute of Medical Sciences, Vijaypur
Andhra Pradesh,Alluri Sitaram Raju Academy of Medical Sciences, Eluru
Kerala,Amala Institute of Medical Sciences, Thrissur
Madhya Pradesh,Amaltas Institute of Medical Sciences, Dewas
Rajasthan,American International Institute of Medical Sciences, Bedwas
Kerala,Amrita School of Medicine, Elamkara, Kochi
Rajasthan,Ananta Institute of Medical Sciences & Research Centre, Rajsamand
Andaman Nicobar Islands,Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair
Andhra Pradesh,Andhra Medical College, Visakhapatnam
Tamil Nadu,Annapoorna Medical College & Hospital, Salem
Bihar,Anugrah Narayan Magadh Medical College, Gaya
Andhra Pradesh,Apollo Institute of Medical Sciences and Research, Chittoor
Telangana,Apollo Institute of Medical Sciences and Research, Hyderabad
Maharashtra,Armed Forces Medical College, Pune
Delhi,Army College of Medical Sciences, New Delhi
Tamil Nadu, Arunai Medical College And Hospital, Tiruvannamalai
Maharashtra,Ashwini Rural Medical College, Hospital & Research Centre, Solapur
Assam,Assam Medial College, Dibrugarh
